cod_representante,cod_cliente,cod_persona,num_telefono,correo_empresarial,cargo
85,3,87,954890950,cristhian.martinez@wongymetro.com,Gerente de producción
86,6,385,911994120,alex.diaz@bodega:mass.com,Gerente de logística
87,6,752,990038709,cristhian.gomez@bodega:mass.com,Gerente de recursos humanos
88,7,122,942130134,diana.vargas@makro.com,Gerente de recursos humanos
89,1,145,998528512,cristhian.rojas@sanfernando.com,Gerente de producción
90,3,801,957834050,jose.fernandez@tottus.com,Gerente de recursos humanos
91,2,979,900081594,pedro.castillo@sanfernando.com,Gerente de producción
92,2,776,968914803,jose.fernandez@wongymetro.com,Gerente de logística
93,7,741,902601659,maria.diaz@sanfernando.com,Gerente de producción
94,4,988,944732454,jose.rodriguez@sanfernando.com,Gerente de producción
95,11,521,942316842,cristhian.gonzalez@sanfernando.com,Gerente de logística
96,6,3,923881107,alex.rojas@makro.com,Gerente de producción
97,4,921,993555901,luis.perez@sanfernando.com,Gerente de recursos humanos
98,8,488,939883290,juan.huaman@sanfernando.com,Gerente de logística
99,1,499,956005996,carlos.gonzalez@bodega:mass.com,Gerente de recursos humanos
100,6,101,935264029,julio.gomez@sanfernando.com,Gerente de almacen
101,9,473,975437260,carlos.vargas@sanfernando.com,Gerente de almacen
102,6,262,983947653,luis.lopez@bodega:mass.com,Gerente de recursos humanos
103,3,896,993222417,carlos.huaman@tottus.com,Gerente de producción
104,11,896,914639819,maria.castillo@sanfernando.com,Gerente de recursos humanos
105,10,56,970457008,maria.gomez@sanfernando.com,Gerente de almacen
106,7,457,926944121,cristhian.ruiz@sanfernando.com,Gerente de producción
107,10,4,965268750,diego.lopez@sanfernando.com,Gerente de producción
108,3,592,920703010,diego.rojas@bodega:mass.com,Gerente de almacen
109,10,580,976252137,julio.rodriguez@plazaveayvivanda.com,Gerente de logística
110,11,487,926570920,ana.huaman@bodega:mass.com,Gerente de producción
111,10,60,948306598,maria.rojas@sanfernando.com,Gerente de logística
112,9,458,912605279,jose.lopez@sanfernando.com,Gerente de almacen
113,11,494,992572162,cristhian.vargas@tottus.com,Gerente de logística
114,1,441,924051246,luis.gonzalez@sanfernando.com,Gerente de recursos humanos
115,9,186,935549302,leonardo.martinez@makro.com,Gerente de recursos humanos
116,11,739,965896540,diana.gomez@plazaveayvivanda.com,Gerente de recursos humanos
117,6,792,919499799,pedro.diaz@sanfernando.com,Gerente de recursos humanos
118,11,802,954783679,leonardo.perez@makro.com,Gerente de almacen
119,3,322,973193940,cristhian.vargas@plazaveayvivanda.com,Gerente de logística
120,5,260,981314294,diana.martinez@wongymetro.com,Gerente de logística
121,9,388,941588253,ana.mamano@plazaveayvivanda.com,Gerente de almacen
122,5,839,994491454,luis.perez@bodega:mass.com,Gerente de almacen
123,4,928,907460200,cristhian.castillo@sanfernando.com,Gerente de recursos humanos
124,1,24,903231253,maria.gonzalez@bodega:mass.com,Gerente de almacen
125,2,62,970203026,leonardo.lopez@sanfernando.com,Gerente de almacen
126,1,382,975137638,elena.diaz@sanfernando.com,Gerente de producción
127,8,203,906175791,leonardo.diaz@sanfernando.com,Gerente de producción
128,7,718,964650943,diego.cárdenas@tottus.com,Gerente de producción
129,11,551,905373901,elena.gomez@sanfernando.com,Gerente de logística
130,1,789,906381167,julio.gomez@makro.com,Gerente de almacen
131,3,562,950285779,diego.mamano@sanfernando.com,Gerente de recursos humanos
132,10,656,995355830,maria.gomez@wongymetro.com,Gerente de producción
133,3,204,960708987,jose.huaman@sanfernando.com,Gerente de producción
134,6,124,929791742,maria.huaman@tottus.com,Gerente de producción
135,7,407,931609221,luis.rodriguez@wongymetro.com,Gerente de almacen
136,7,59,903696585,julio.martinez@plazaveayvivanda.com,Gerente de almacen
137,9,277,906402471,leonardo.gonzalez@makro.com,Gerente de recursos humanos
138,6,689,978195692,maria.mamano@plazaveayvivanda.com,Gerente de producción
139,9,585,930560939,diego.rojas@plazaveayvivanda.com,Gerente de logística
140,6,880,939591967,cristhian.mamano@makro.com,Gerente de almacen
141,9,140,952179111,ana.rojas@plazaveayvivanda.com,Gerente de recursos humanos
142,5,16,987273329,carlos.rodriguez@plazaveayvivanda.com,Gerente de recursos humanos
143,3,494,993060975,luis.mamano@makro.com,Gerente de recursos humanos
144,3,149,947814026,carlos.mamano@sanfernando.com,Gerente de producción
145,3,890,985055132,fernando.ruiz@sanfernando.com,Gerente de logística
146,4,446,913620324,luis.diaz@bodega:mass.com,Gerente de producción
147,3,759,924047143,leonardo.lopez@sanfernando.com,Gerente de producción
148,11,472,910652388,fernando.gonzalez@wongymetro.com,Gerente de logística
149,4,428,935840103,ana.vargas@wongymetro.com,Gerente de recursos humanos
150,2,490,901795056,diana.rojas@sanfernando.com,Gerente de almacen
151,4,821,906068399,cristhian.gomez@plazaveayvivanda.com,Gerente de recursos humanos
152,8,161,996750510,ana.perez@sanfernando.com,Gerente de almacen
153,5,717,935525683,jose.mamano@sanfernando.com,Gerente de recursos humanos
154,8,41,968363411,jose.ruiz@makro.com,Gerente de producción
155,6,853,906160627,ana.ruiz@sanfernando.com,Gerente de recursos humanos
156,11,199,905926904,elena.gomez@sanfernando.com,Gerente de recursos humanos
157,3,336,935635263,elena.gomez@sanfernando.com,Gerente de almacen
158,8,251,994107386,julio.lopez@sanfernando.com,Gerente de producción
159,6,804,953527694,jose.perez@sanfernando.com,Gerente de logística
160,3,313,977534241,elena.castillo@wongymetro.com,Gerente de producción
161,8,640,979171584,maria.rodriguez@sanfernando.com,Gerente de producción
162,10,98,946036375,diego.fernandez@sanfernando.com,Gerente de logística
163,10,962,909206297,julio.mamano@tottus.com,Gerente de producción
164,3,349,988107868,diana.huaman@plazaveayvivanda.com,Gerente de logística
165,2,609,963394554,leonardo.rodriguez@plazaveayvivanda.com,Gerente de producción
166,7,375,939821531,julio.vargas@plazaveayvivanda.com,Gerente de logística
167,3,88,943815764,diana.rojas@tottus.com,Gerente de almacen
168,3,355,992475999,jose.vargas@bodega:mass.com,Gerente de producción
169,3,557,901212244,diana.cárdenas@sanfernando.com,Gerente de almacen
170,10,583,953893057,cristhian.martinez@sanfernando.com,Gerente de producción
171,4,907,917149461,jose.mamano@makro.com,Gerente de recursos humanos
172,1,591,986236720,jose.martinez@sanfernando.com,Gerente de producción
173,8,871,909572950,diana.ruiz@bodega:mass.com,Gerente de producción
174,2,161,906329055,luis.diaz@bodega:mass.com,Gerente de almacen
175,10,178,982122805,alex.lopez@wongymetro.com,Gerente de producción
176,3,775,976032351,alex.fernandez@wongymetro.com,Gerente de recursos humanos
177,9,624,980109433,ana.rodriguez@sanfernando.com,Gerente de producción
178,7,632,943852565,elena.martinez@sanfernando.com,Gerente de logística
179,4,748,972653624,jose.lopez@sanfernando.com,Gerente de recursos humanos
180,10,907,973125236,pedro.huaman@wongymetro.com,Gerente de producción
181,7,285,959783504,ana.lopez@bodega:mass.com,Gerente de recursos humanos
182,7,349,960109042,diego.lopez@bodega:mass.com,Gerente de recursos humanos
183,10,41,912133109,juan.vargas@plazaveayvivanda.com,Gerente de producción
184,5,281,912966711,cristhian.huaman@makro.com,Gerente de producción
185,1,292,938952879,julio.perez@wongymetro.com,Gerente de almacen
186,3,749,917392264,pedro.fernandez@wongymetro.com,Gerente de producción
187,7,725,997275521,alex.rojas@makro.com,Gerente de almacen
188,9,689,936039446,jose.diaz@wongymetro.com,Gerente de logística
189,3,327,903168168,juan.gomez@sanfernando.com,Gerente de producción
190,8,620,957984879,pedro.perez@wongymetro.com,Gerente de almacen
191,6,125,935926908,maria.rodriguez@sanfernando.com,Gerente de logística
192,4,663,967177075,elena.lopez@sanfernando.com,Gerente de recursos humanos
193,1,646,989413205,diana.vargas@sanfernando.com,Gerente de almacen
194,1,428,943123133,carlos.martinez@makro.com,Gerente de almacen
195,2,417,912822026,luis.castillo@sanfernando.com,Gerente de almacen
196,9,550,984418668,cristhian.martinez@plazaveayvivanda.com,Gerente de producción
197,1,106,985411340,juan.ruiz@makro.com,Gerente de producción
198,6,414,922969303,leonardo.gomez@sanfernando.com,Gerente de producción
199,2,625,959048243,juan.gomez@sanfernando.com,Gerente de almacen
200,6,803,994781439,alex.huaman@plazaveayvivanda.com,Gerente de producción
201,11,692,932030577,alex.gonzalez@bodega:mass.com,Gerente de almacen
202,6,579,956906579,maria.fernandez@sanfernando.com,Gerente de almacen
203,11,195,955112038,luis.diaz@sanfernando.com,Gerente de recursos humanos
204,7,130,915795078,luis.perez@sanfernando.com,Gerente de recursos humanos
205,11,185,966495180,cristhian.ruiz@plazaveayvivanda.com,Gerente de logística
206,8,963,915348155,diego.mamano@plazaveayvivanda.com,Gerente de almacen
207,8,480,962966555,carlos.mamano@makro.com,Gerente de almacen
208,8,769,962913694,julio.lopez@sanfernando.com,Gerente de logística
209,3,761,901294391,carlos.perez@tottus.com,Gerente de producción
210,3,315,962019185,julio.gonzalez@plazaveayvivanda.com,Gerente de recursos humanos
211,1,286,900511627,ana.lopez@sanfernando.com,Gerente de producción
212,10,110,910324684,fernando.rojas@sanfernando.com,Gerente de almacen
213,7,454,973965780,ana.martinez@tottus.com,Gerente de almacen
214,5,792,921798707,luis.gomez@sanfernando.com,Gerente de producción
215,4,919,986258731,carlos.fernandez@tottus.com,Gerente de producción
216,10,432,976367369,juan.gomez@sanfernando.com,Gerente de producción
217,9,848,954806769,diego.martinez@makro.com,Gerente de recursos humanos
218,1,152,902943954,cristhian.gonzalez@sanfernando.com,Gerente de almacen
219,11,30,903687459,elena.gomez@sanfernando.com,Gerente de producción
220,2,39,954678136,juan.ruiz@wongymetro.com,Gerente de recursos humanos
221,2,208,931557454,diego.lopez@bodega:mass.com,Gerente de producción
222,3,393,961583611,jose.martinez@sanfernando.com,Gerente de recursos humanos
223,6,831,946583978,maria.rojas@sanfernando.com,Gerente de producción
224,1,74,915493770,juan.ruiz@sanfernando.com,Gerente de almacen
225,3,511,901793306,maria.gomez@makro.com,Gerente de producción
226,6,217,990368758,carlos.vargas@makro.com,Gerente de producción
227,5,503,973513699,jose.mamano@sanfernando.com,Gerente de almacen
228,8,908,935253947,fernando.cárdenas@sanfernando.com,Gerente de logística
229,9,253,914716396,fernando.perez@tottus.com,Gerente de recursos humanos
230,3,225,937047714,julio.vargas@sanfernando.com,Gerente de almacen
231,5,54,952067895,luis.perez@sanfernando.com,Gerente de almacen
232,6,198,978329268,luis.gonzalez@bodega:mass.com,Gerente de producción
233,3,994,918176735,julio.rojas@tottus.com,Gerente de almacen
234,9,979,989672076,diana.huaman@sanfernando.com,Gerente de almacen
235,7,609,932575454,jose.gomez@tottus.com,Gerente de producción
236,5,414,999772240,diego.cárdenas@sanfernando.com,Gerente de producción
237,7,227,987612011,julio.lopez@tottus.com,Gerente de recursos humanos
238,6,616,930168502,jose.martinez@tottus.com,Gerente de almacen
239,3,634,985806368,maria.lopez@sanfernando.com,Gerente de producción
240,10,393,998347690,maria.martinez@sanfernando.com,Gerente de producción
241,7,215,985987465,elena.rodriguez@plazaveayvivanda.com,Gerente de almacen
242,5,117,968588971,jose.diaz@sanfernando.com,Gerente de recursos humanos
243,2,16,989544250,diego.rodriguez@bodega:mass.com,Gerente de logística
244,11,675,901003892,juan.mamano@sanfernando.com,Gerente de producción
245,3,548,992065427,jose.lopez@sanfernando.com,Gerente de producción
246,3,417,925355930,elena.fernandez@makro.com,Gerente de producción
247,3,397,978998195,maria.martinez@bodega:mass.com,Gerente de producción
248,10,174,977930909,luis.vargas@plazaveayvivanda.com,Gerente de logística
249,1,274,968618529,jose.vargas@bodega:mass.com,Gerente de producción
250,2,859,997868363,leonardo.rodriguez@sanfernando.com,Gerente de recursos humanos
251,9,876,984706022,elena.martinez@plazaveayvivanda.com,Gerente de producción
252,9,410,931517959,leonardo.rojas@sanfernando.com,Gerente de producción
253,8,316,913262816,leonardo.mamano@sanfernando.com,Gerente de producción
254,10,763,963858022,jose.ruiz@sanfernando.com,Gerente de producción
255,10,699,955693415,pedro.rodriguez@bodega:mass.com,Gerente de producción
256,8,261,915554494,elena.castillo@sanfernando.com,Gerente de recursos humanos
257,10,850,980737643,fernando.vargas@wongymetro.com,Gerente de producción
258,5,943,960121466,maria.mamano@sanfernando.com,Gerente de almacen
259,8,186,988631553,pedro.lopez@tottus.com,Gerente de recursos humanos
260,4,537,935511037,diego.diaz@makro.com,Gerente de producción
261,1,846,993725396,elena.cárdenas@plazaveayvivanda.com,Gerente de almacen
262,10,123,959140050,diego.martinez@plazaveayvivanda.com,Gerente de recursos humanos
263,8,507,926148252,diego.huaman@tottus.com,Gerente de recursos humanos
264,9,316,972653521,diego.vargas@wongymetro.com,Gerente de almacen
265,7,142,932856520,julio.lopez@tottus.com,Gerente de producción
266,10,759,975611203,julio.rojas@bodega:mass.com,Gerente de recursos humanos
267,2,405,996020329,elena.vargas@plazaveayvivanda.com,Gerente de producción
268,7,265,917639551,carlos.fernandez@bodega:mass.com,Gerente de recursos humanos
269,5,8,916859207,leonardo.mamano@bodega:mass.com,Gerente de producción
270,4,565,925765639,elena.rodriguez@sanfernando.com,Gerente de producción
271,2,983,989266679,maria.gomez@tottus.com,Gerente de producción
272,11,523,959879590,jose.castillo@bodega:mass.com,Gerente de producción
273,7,574,922286146,cristhian.castillo@tottus.com,Gerente de producción
274,4,440,999193569,julio.ruiz@plazaveayvivanda.com,Gerente de logística
275,2,434,979560420,julio.cárdenas@sanfernando.com,Gerente de producción
276,7,133,968991912,pedro.fernandez@sanfernando.com,Gerente de producción
277,7,106,934654438,maria.lopez@sanfernando.com,Gerente de almacen
278,7,834,931638736,carlos.huaman@tottus.com,Gerente de recursos humanos
279,6,269,978002932,diego.cárdenas@sanfernando.com,Gerente de almacen
280,11,468,961734715,luis.castillo@plazaveayvivanda.com,Gerente de producción
281,4,500,919013330,maria.fernandez@sanfernando.com,Gerente de producción
282,7,978,914423081,pedro.martinez@tottus.com,Gerente de recursos humanos
283,3,657,980377877,fernando.cárdenas@sanfernando.com,Gerente de producción
284,3,657,934416711,cristhian.fernandez@sanfernando.com,Gerente de recursos humanos
285,11,579,903450622,jose.cárdenas@plazaveayvivanda.com,Gerente de logística
286,8,234,989738047,fernando.martinez@bodega:mass.com,Gerente de recursos humanos
287,6,687,972974146,elena.gomez@tottus.com,Gerente de producción
288,1,586,990383897,juan.huaman@makro.com,Gerente de producción
289,10,799,982207706,carlos.huaman@sanfernando.com,Gerente de producción
290,4,761,973569579,alex.martinez@tottus.com,Gerente de recursos humanos
291,5,982,948150498,ana.huaman@wongymetro.com,Gerente de producción
292,1,674,911568089,leonardo.mamano@tottus.com,Gerente de producción
293,7,111,968626618,alex.castillo@sanfernando.com,Gerente de logística
294,7,290,993458215,elena.vargas@plazaveayvivanda.com,Gerente de producción
295,10,632,960899320,elena.vargas@sanfernando.com,Gerente de producción
296,5,267,963860106,fernando.huaman@sanfernando.com,Gerente de producción
297,11,606,927337012,elena.huaman@sanfernando.com,Gerente de logística
298,9,734,932966513,diana.rojas@wongymetro.com,Gerente de producción
299,3,415,921666369,alex.gomez@plazaveayvivanda.com,Gerente de producción
300,11,17,963151517,jose.ruiz@wongymetro.com,Gerente de recursos humanos
301,11,195,995304421,juan.castillo@sanfernando.com,Gerente de recursos humanos
302,5,989,908782709,juan.fernandez@sanfernando.com,Gerente de almacen
303,1,165,972715596,julio.perez@sanfernando.com,Gerente de producción
304,1,222,908713142,leonardo.castillo@sanfernando.com,Gerente de logística
305,3,530,931802788,julio.castillo@sanfernando.com,Gerente de producción
306,5,972,992828247,juan.mamano@sanfernando.com,Gerente de producción
307,4,413,976012109,luis.lopez@sanfernando.com,Gerente de producción
308,1,286,980983608,diana.gomez@sanfernando.com,Gerente de producción
309,8,914,997102117,diana.martinez@sanfernando.com,Gerente de almacen
310,8,470,904856368,luis.martinez@plazaveayvivanda.com,Gerente de logística
311,10,456,962373967,cristhian.huaman@sanfernando.com,Gerente de producción
312,6,633,936719467,diana.ruiz@sanfernando.com,Gerente de producción
313,7,541,908587985,cristhian.rodriguez@sanfernando.com,Gerente de producción
314,9,77,957939552,jose.fernandez@wongymetro.com,Gerente de producción
315,4,629,920250341,diego.lopez@makro.com,Gerente de logística
316,9,552,965443873,fernando.castillo@wongymetro.com,Gerente de almacen
317,7,292,975466790,diana.vargas@sanfernando.com,Gerente de logística
318,1,943,963883504,diego.rodriguez@bodega:mass.com,Gerente de producción
319,9,950,992259634,alex.rodriguez@sanfernando.com,Gerente de logística
320,8,883,919919393,diana.gonzalez@bodega:mass.com,Gerente de logística
321,10,818,934349694,julio.lopez@tottus.com,Gerente de recursos humanos
322,10,334,973766738,diana.gonzalez@sanfernando.com,Gerente de almacen
323,9,998,912187244,julio.lopez@sanfernando.com,Gerente de logística
324,9,230,927625123,fernando.castillo@sanfernando.com,Gerente de producción
325,8,543,979281550,ana.perez@plazaveayvivanda.com,Gerente de producción
326,1,990,982647271,cristhian.perez@sanfernando.com,Gerente de recursos humanos
327,10,373,908186069,alex.mamano@sanfernando.com,Gerente de producción
328,1,368,984123260,elena.diaz@makro.com,Gerente de almacen
329,4,196,973632697,diana.gomez@sanfernando.com,Gerente de producción
330,5,643,901660791,leonardo.lopez@makro.com,Gerente de logística
331,10,702,967513405,jose.vargas@plazaveayvivanda.com,Gerente de almacen
332,10,191,979115771,jose.cárdenas@sanfernando.com,Gerente de logística
333,2,102,904536018,jose.martinez@tottus.com,Gerente de producción
334,5,142,971244189,ana.castillo@makro.com,Gerente de recursos humanos
335,8,400,967420322,fernando.gomez@wongymetro.com,Gerente de producción
336,9,664,947483786,leonardo.gonzalez@makro.com,Gerente de almacen
337,3,272,903624556,luis.rodriguez@sanfernando.com,Gerente de recursos humanos
338,9,612,991574514,cristhian.diaz@sanfernando.com,Gerente de recursos humanos
339,8,767,963375340,luis.perez@bodega:mass.com,Gerente de logística
340,9,325,985817130,pedro.perez@wongymetro.com,Gerente de producción
341,7,357,916326825,diana.rojas@plazaveayvivanda.com,Gerente de producción
342,9,600,985062366,leonardo.rojas@makro.com,Gerente de logística
343,11,374,923665552,luis.rodriguez@tottus.com,Gerente de producción
344,8,166,985267323,alex.perez@tottus.com,Gerente de recursos humanos
345,3,335,905125290,luis.lopez@makro.com,Gerente de recursos humanos
346,8,532,908084357,cristhian.gonzalez@plazaveayvivanda.com,Gerente de recursos humanos
347,6,59,907392174,elena.castillo@bodega:mass.com,Gerente de recursos humanos
348,8,132,917980408,cristhian.vargas@bodega:mass.com,Gerente de almacen
349,6,29,965072157,carlos.perez@bodega:mass.com,Gerente de logística
350,1,618,950605107,fernando.martinez@tottus.com,Gerente de recursos humanos
351,3,32,988999180,diego.castillo@wongymetro.com,Gerente de logística
352,2,754,948597148,jose.rodriguez@sanfernando.com,Gerente de logística
353,7,246,922597037,leonardo.vargas@bodega:mass.com,Gerente de recursos humanos
354,3,28,927310940,julio.rojas@plazaveayvivanda.com,Gerente de producción
355,7,737,907624046,maria.rodriguez@sanfernando.com,Gerente de logística
356,2,733,902725490,julio.mamano@sanfernando.com,Gerente de almacen
357,11,423,986610368,ana.rodriguez@makro.com,Gerente de recursos humanos
358,1,843,982322116,maria.gomez@sanfernando.com,Gerente de almacen
359,1,814,942014703,elena.rodriguez@sanfernando.com,Gerente de producción
360,10,714,972015850,pedro.vargas@makro.com,Gerente de recursos humanos
361,7,833,922549948,juan.ruiz@makro.com,Gerente de almacen
362,4,757,967211169,diego.perez@bodega:mass.com,Gerente de producción
363,2,452,932265419,jose.mamano@sanfernando.com,Gerente de logística
364,9,947,994546210,alex.gonzalez@sanfernando.com,Gerente de producción
365,8,925,982992855,julio.gomez@sanfernando.com,Gerente de producción
366,3,396,947986920,pedro.huaman@wongymetro.com,Gerente de almacen
367,8,362,954861241,alex.rodriguez@bodega:mass.com,Gerente de recursos humanos
368,6,757,974097512,juan.lopez@makro.com,Gerente de recursos humanos
369,5,301,977797307,alex.gonzalez@makro.com,Gerente de almacen
370,5,242,919542676,diego.gomez@plazaveayvivanda.com,Gerente de producción
371,2,64,911828799,alex.castillo@sanfernando.com,Gerente de almacen
372,2,199,932656778,cristhian.mamano@makro.com,Gerente de logística
373,6,133,961143784,jose.huaman@sanfernando.com,Gerente de recursos humanos
374,3,84,959103503,alex.lopez@makro.com,Gerente de logística
375,1,259,955701735,pedro.diaz@sanfernando.com,Gerente de producción
376,11,964,989191226,leonardo.gomez@tottus.com,Gerente de almacen
377,4,560,952603665,carlos.rodriguez@sanfernando.com,Gerente de recursos humanos
378,4,291,919800457,alex.rojas@sanfernando.com,Gerente de almacen
379,10,558,963168226,maria.diaz@sanfernando.com,Gerente de producción
380,7,935,918014220,jose.rodriguez@makro.com,Gerente de almacen
381,5,567,996122391,pedro.fernandez@makro.com,Gerente de logística
382,5,173,999011504,ana.castillo@makro.com,Gerente de logística
383,10,959,912479001,ana.lopez@tottus.com,Gerente de producción
384,1,10,953646521,alex.lopez@bodega:mass.com,Gerente de logística
385,9,140,962889169,juan.fernandez@sanfernando.com,Gerente de producción
386,5,144,986626244,elena.castillo@sanfernando.com,Gerente de recursos humanos
387,6,151,934809010,maria.castillo@tottus.com,Gerente de producción
388,9,863,970164019,cristhian.rojas@tottus.com,Gerente de almacen
389,10,920,946953155,ana.diaz@sanfernando.com,Gerente de logística
390,10,823,923567323,julio.castillo@plazaveayvivanda.com,Gerente de logística
391,5,77,960625227,fernando.huaman@tottus.com,Gerente de logística
392,7,687,921227427,alex.rodriguez@sanfernando.com,Gerente de recursos humanos
393,3,753,998564490,fernando.gomez@sanfernando.com,Gerente de producción
394,9,71,940580356,elena.ruiz@sanfernando.com,Gerente de logística
395,9,194,924668121,luis.perez@sanfernando.com,Gerente de producción
396,1,582,932468407,leonardo.castillo@sanfernando.com,Gerente de recursos humanos
397,4,599,916091447,elena.mamano@sanfernando.com,Gerente de producción
398,1,75,910965150,alex.lopez@bodega:mass.com,Gerente de recursos humanos
399,1,636,972587009,jose.vargas@tottus.com,Gerente de producción
